
Step: 0, rec_acc: 0.617872276958583
Step: 5, rec_acc: 0.8251517512022768
Step: 10, rec_acc: 0.7840738223430117
Step: 15, rec_acc: 0.8392338951506682
Step: 20, rec_acc: 0.8865036841267007
Step: 25, rec_acc: 0.8861205909207162
Step: 30, rec_acc: 0.8492543379687065
Step: 35, rec_acc: 0.8816926853695999
Step: 40, rec_acc: 0.8855881287472729
Step: 45, rec_acc: 0.8951835371372344
Step: 50, rec_acc: 0.8529264001959159
Step: 55, rec_acc: 0.9024366498046257
Step: 60, rec_acc: 0.9013206897060725
Step: 65, rec_acc: 0.9123437767050222
Step: 70, rec_acc: 0.8398436940711367
Step: 75, rec_acc: 0.9103406751675325
Step: 80, rec_acc: 0.8368807022460325
Step: 85, rec_acc: 0.9090825714873243
Step: 90, rec_acc: 0.8790947750014121
Step: 95, rec_acc: 0.9105690505519465
Step: 100, rec_acc: 0.8945208407092481
Step: 105, rec_acc: 0.9141074209780314
Step: 110, rec_acc: 0.8981138226403016
Step: 115, rec_acc: 0.9027875169033763
Step: 120, rec_acc: 0.851332382567127
Step: 125, rec_acc: 0.8929250573675687
Step: 130, rec_acc: 0.8962557238095243
Step: 135, rec_acc: 0.9041666938172729
Step: 140, rec_acc: 0.9251752492207703
Step: 145, rec_acc: 0.9049311514559515
Step: 150, rec_acc: 0.8886933084815524
Step: 155, rec_acc: 0.9299619712726048
Step: 160, rec_acc: 0.8385312891786018
Step: 165, rec_acc: 0.9146217236440053
Step: 170, rec_acc: 0.8812981039479463
Step: 175, rec_acc: 0.9102719748990393
Step: 180, rec_acc: 0.7894296358758698
Step: 185, rec_acc: 0.888624933281541
Step: 190, rec_acc: 0.8747221680318288
Step: 195, rec_acc: 0.9012407080836715
Step: 200, rec_acc: 0.8587018771389785
Step: 205, rec_acc: 0.8215390730763847
Step: 210, rec_acc: 0.9087700107540043
Step: 215, rec_acc: 0.9234852034072438
Step: 220, rec_acc: 0.8590963625176713
Step: 225, rec_acc: 0.8849542969229003
Step: 230, rec_acc: 0.8899837564757149
Step: 235, rec_acc: 0.889556357913224
Step: 240, rec_acc: 0.9128819645164998
Step: 245, rec_acc: 0.860686361117956
Step: 250, rec_acc: 0.8696618565249082
Step: 255, rec_acc: 0.9026224633816634
Step: 260, rec_acc: 0.8619805917271814
Step: 265, rec_acc: 0.8564467440970926
Step: 270, rec_acc: 0.9176855236381156
Step: 275, rec_acc: 0.9076448083674754
Step: 280, rec_acc: 0.8805456295155799
Step: 285, rec_acc: 0.8406058836183613
Step: 290, rec_acc: 0.8887143418899189
Step: 295, rec_acc: 0.9180383854752783
Step: 300, rec_acc: 0.8593232898697565
Step: 305, rec_acc: 0.9108535371890976
Step: 310, rec_acc: 0.7989340620304838
Step: 315, rec_acc: 0.8821355764004242
Step: 320, rec_acc: 0.8898120981534825
Step: 325, rec_acc: 0.897473733247651
Step: 330, rec_acc: 0.8864659835707139
Step: 335, rec_acc: 0.8893926342171192
Step: 340, rec_acc: 0.839780084079554
Step: 345, rec_acc: 0.8525706422940958
Step: 350, rec_acc: 0.8618979947810846
Step: 355, rec_acc: 0.8679952969092031
Step: 360, rec_acc: 0.8950067811501712
Step: 365, rec_acc: 0.8975463638896081
Step: 370, rec_acc: 0.8682090220481686
Step: 375, rec_acc: 0.8685265400758387
Step: 380, rec_acc: 0.909354151428158
Step: 385, rec_acc: 0.8755227378236846
Step: 390, rec_acc: 0.9123871437956831
Step: 395, rec_acc: 0.9072089210848535
Step: 400, rec_acc: 0.9182460008043671
Step: 405, rec_acc: 0.9046063637149577
Step: 410, rec_acc: 0.903954084254234
Step: 415, rec_acc: 0.839101341089231
Step: 420, rec_acc: 0.9057393012537729
Step: 425, rec_acc: 0.9249159406151304
Step: 430, rec_acc: 0.8776117313196109
Step: 435, rec_acc: 0.8762105531798221
Step: 440, rec_acc: 0.9034555769613151
Step: 445, rec_acc: 0.915477126578431
Step: 450, rec_acc: 0.8517966246868796
Step: 455, rec_acc: 0.9129633720074694
Step: 460, rec_acc: 0.9081852642704067
Step: 465, rec_acc: 0.8741922029753607
Step: 470, rec_acc: 0.8318571308654933
Step: 475, rec_acc: 0.8488932755402946
Step: 480, rec_acc: 0.8790968214552646
Step: 485, rec_acc: 0.9084354783464718
Step: 490, rec_acc: 0.8562910732338359
Step: 495, rec_acc: 0.8536877696840159
Step: 500, rec_acc: 0.9051905265528718
Step: 505, rec_acc: 0.8669473869421793
Step: 510, rec_acc: 0.8698864640700994
Step: 515, rec_acc: 0.9319484056624744
Step: 520, rec_acc: 0.8691931003860084
Step: 525, rec_acc: 0.8923042652220742
Step: 530, rec_acc: 0.911250261107564
Step: 535, rec_acc: 0.923015154382336
Step: 540, rec_acc: 0.890475828890275
Step: 545, rec_acc: 0.8790727220600796
Step: 550, rec_acc: 0.9035511914225302
Step: 555, rec_acc: 0.8779613129202738
Step: 560, rec_acc: 0.9206599445755284
Step: 565, rec_acc: 0.8675785221757359
Step: 570, rec_acc: 0.8625831652618463
Step: 575, rec_acc: 0.911116739228601
Step: 580, rec_acc: 0.9001083468026199
Step: 585, rec_acc: 0.868236830179216
Step: 590, rec_acc: 0.8921224115701801
Step: 595, rec_acc: 0.9090186955306201
Step: 600, rec_acc: 0.8876722018884499
Step: 605, rec_acc: 0.9145139265026369
Step: 610, rec_acc: 0.9403257898384687
Step: 615, rec_acc: 0.8988658981249857
Step: 620, rec_acc: 0.8705736810047134
Step: 625, rec_acc: 0.8816275977940086
Step: 630, rec_acc: 0.9145301208233743
Step: 635, rec_acc: 0.8928067250522169
Step: 640, rec_acc: 0.8934097566379243
Step: 645, rec_acc: 0.8040970804018622
Step: 650, rec_acc: 0.8251632024783457
Step: 655, rec_acc: 0.9067506779561769
Step: 660, rec_acc: 0.8498301524569702
Step: 665, rec_acc: 0.9017312216471021
Step: 670, rec_acc: 0.8963927032350681
Step: 675, rec_acc: 0.8910957492612042
Step: 680, rec_acc: 0.9125569181983043
Step: 685, rec_acc: 0.8842290765275777
Step: 690, rec_acc: 0.9140264937018646
Step: 695, rec_acc: 0.8895565647749852
Step: 700, rec_acc: 0.839079236432458
Step: 705, rec_acc: 0.7439105918644491
Step: 710, rec_acc: 0.8611136488616463
Step: 715, rec_acc: 0.9137458266193762
Step: 720, rec_acc: 0.8935040338856114
Step: 725, rec_acc: 0.8942712841580668
Step: 730, rec_acc: 0.9065669477725915
Step: 735, rec_acc: 0.8767422913371008
Step: 740, rec_acc: 0.9325840401393379
Step: 745, rec_acc: 0.8949099107425486
Step: 750, rec_acc: 0.8460338845179738
Step: 755, rec_acc: 0.841541053925507
Step: 760, rec_acc: 0.8435309754136373
Step: 765, rec_acc: 0.734395202036489
Step: 770, rec_acc: 0.9063570791278891
Step: 775, rec_acc: 0.9015715686949417
Step: 780, rec_acc: 0.8828334393278222
Step: 785, rec_acc: 0.9124519506303128
Step: 790, rec_acc: 0.8787800865471191
Step: 795, rec_acc: 0.9133294286698316
Step: 800, rec_acc: 0.9189408346845471
Step: 805, rec_acc: 0.9073988349575157
Step: 810, rec_acc: 0.9206862455708865
Step: 815, rec_acc: 0.9308813240429352
Step: 820, rec_acc: 0.918875998298237
Step: 825, rec_acc: 0.923127834938854
Step: 830, rec_acc: 0.8998568324526266
Step: 835, rec_acc: 0.9077625274854637
Step: 840, rec_acc: 0.9119398717282725
Step: 845, rec_acc: 0.8398469004284357
Step: 850, rec_acc: 0.8804050595608943
Step: 855, rec_acc: 0.8519234900498828
Step: 860, rec_acc: 0.8808702473344125
Step: 865, rec_acc: 0.8710433827973788
Step: 870, rec_acc: 0.9220836263197723
Step: 875, rec_acc: 0.8794475555714544
Step: 880, rec_acc: 0.8883445469400144
Step: 885, rec_acc: 0.8818529589070442
Step: 890, rec_acc: 0.9216949626220746
Step: 895, rec_acc: 0.9020379533115075
Step: 900, rec_acc: 0.9293635940765254
Step: 905, rec_acc: 0.9057845744278052
Step: 910, rec_acc: 0.8520343975055898
Step: 915, rec_acc: 0.9135711761895257
Step: 920, rec_acc: 0.8903452547914096
